Date,Exchange,Company Name,Number of Shares,Price,Status,Symbol,Number of Shares
2015-11-05,Nasdaq National Market,"KURA ONCOLOGY, INC.",6250000.0,8.00,priced,KURA,50000000.0
2015-11-04,,INTERACTIVE DATA HOLDINGS CORP,,,withdrawn,,
2015-11-04,Nasdaq SmallCap Market,FULING GLOBAL INC.,4000000.0,5.00,priced,FORK,20000000.0
2015-11-04,,"SHIMMICK CONSTRUCTION COMPANY, INC.",,,filed,SCCI,93437500.0
2015-11-03,,"KILLER WAVES HAWAII, INC",,,filed,,74400.0
2015-11-02,,MESOBLAST LTD,,,filed,MESO,59836936.0
2015-12-21,Nasdaq SmallCap Market,"CHINA CUSTOMER RELATIONS CENTERS, INC.",2400000.0,4.00,priced,CCRC,9600000.0
2015-12-18,New York Stock Exchange,YIREN DIGITAL LTD.,7500000.0,10.00,priced,YRD,75000000.0
2015-12-18,,WHISKEY ACQUISITION INC.,,,filed,,220000.0
2015-12-17,,GELESIS INC,,,withdrawn,,
2015-12-17,,ISIGN SOLUTIONS INC.,,,filed,,9200000.0
2015-12-15,,LIGHTBEAM ELECTRIC CO,,,withdrawn,,
2015-12-14,,"INTERNATIONAL MARKET CENTERS, INC.",,,withdrawn,,
2015-12-10,Nasdaq National Market,ATLASSIAN CORP PLC,22000000.0,21.00,priced,TEAM,462000000.0
2015-12-09,,BASILEA PHARMACEUTICA LTD.,,,withdrawn,,
2015-12-09,,"ENDOSTIM, INC.",,,withdrawn,,
2015-12-04,,FUNDTHATCOMPANY,,,filed,,150000.0
2015-12-03,,"IVDESK HOLDINGS, INC.",,,withdrawn,,
2015-12-01,,"WOODSIDE HOMES, INC.",,,withdrawn,,
2016-01-29,,PLUSH CORP,,,filed,,30000.0
2016-01-27,,"LANDMARK APARTMENT TRUST, INC.",,,withdrawn,,
2016-01-27,,XG SCIENCES INC,,,filed,,16000000.0
2016-01-26,,"BALLAST POINT BREWING & SPIRITS, INC.",,,withdrawn,,
2016-01-22,,"ONEMAIN FINANCIAL HOLDINGS, LLC",,,withdrawn,,
2016-01-19,,PC MOBILE MEDIA CORP.,,,filed,,40000.0
2016-01-19,,TITAN COMPUTER SERVICES INC.,,,filed,,871850.0
2016-01-19,,AXETURE CORP,,,filed,,100000.0
2016-01-11,,RELIANT SERVICE INC,,,filed,,80000.0
2016-01-08,,"POSTADS, INC.",,,filed,,89000.0
2016-01-07,,SURGIQUEST INC,,,withdrawn,,
2016-01-07,,"OTG EXP, INC.",,,filed,OTG,672750000.0
2016-01-05,,"21ST CENTURY ONCOLOGY HOLDINGS, INC.",,,withdrawn,,
2016-01-05,,"TRUPAL MEDIA, INC.",,,filed,,248513.0
2016-01-05,,NOVA SMART SOLUTIONS INC,,,filed,,6172540.0
2016-01-04,,"BORROWMONEY.COM, INC.",,,filed,,2053000.0
2016-03-01,,RESULTS BASED OUTSOURCING INC,,,filed,,56950.0
2016-02-26,,YODLE INC,,,withdrawn,,
2016-02-24,Nasdaq SmallCap Market,"CENTENNIAL RESOURCE DEVELOPMENT, INC.",45000000.0,10.00,priced,SRAQU,450000000.0
2016-02-19,,PHOENIX APPS INC.,,,filed,,150000.0
2016-02-12,,INBIT CORP,,,filed,,100000.0
2016-02-12,,BIGFOOT PROJECT INVESTMENTS INC,,,filed,,3000000.0
2016-02-12,,"REDWOOD SCIENTIFIC TECHNOLOGIES, INC.",,,filed,,9140114.0
2016-02-11,,ORANJTEK CO.,,,withdrawn,,
2016-02-11,Nasdaq National Market,"AVEXIS, INC.",4750000.0,20.00,priced,AVXS,95000000.0
2016-02-11,Nasdaq National Market,"PROTEOSTASIS THERAPEUTICS, INC.",6250000.0,8.00,priced,PTI,50000000.0
2016-02-11,,MAKH GROUP CORP.,,,filed,,60000.0
2016-02-11,,FAR SIGHTED MEDIA INC,,,filed,,1980000.0
2016-02-11,,INTERNATIONAL LAND ALLIANCE INC.,,,filed,,1365000.0
2016-02-08,,"APELLIS PHARMACEUTICALS, INC.",,,withdrawn,,
2016-02-08,,ELLIPSE TECHNOLOGIES INC,,,withdrawn,,
2016-02-03,Nasdaq National Market,"EDITAS MEDICINE, INC.",5900000.0,16.00,priced,EDIT,94400000.0
2016-02-03,Nasdaq National Market,"BEIGENE, LTD.",6600000.0,24.00,priced,BGNE,158400000.0
2016-02-03,,HIP CUISINE INC.,,,filed,,375000.0
2016-02-02,,PETCO HOLDINGS INC,,,withdrawn,,
2016-02-02,,ALL SOFT GELS INC,,,filed,,4000.0
2016-02-02,,"INNERSCOPE ADVERTISING AGENCY, INC.",,,filed,,30200.0
2016-04-01,,TRANSFIRST HOLDINGS CORP.,,,withdrawn,,
2016-03-31,,"SPIRIT INTERNATIONAL, INC.",,,filed,,400000.0
2016-03-30,,OGL HOLDINGS LTD.,,,filed,,7749000.0
2016-03-29,,APP INCLINE CORP,,,filed,,100000.0
2016-03-28,,DESEO SWIMWEAR INC.,,,filed,,72079.0
2016-03-24,,"KLOX TECHNOLOGIES, INC.",,,withdrawn,,
2016-03-23,,"WAYNE FARMS, INC.",,,withdrawn,,
2016-03-23,Nasdaq National Market,"CORVUS PHARMACEUTICALS, INC.",4700000.0,15.00,priced,CRVS,70500000.0
2016-03-22,,OVERSEAS SHIPHOLDING GROUP INC,,,withdrawn,,
2016-03-22,,BARE METAL STANDARD INC.,,,filed,,3000000.0
2016-03-18,,"INPELLIS, INC.",,,withdrawn,,
2016-03-18,,"UNITED LUMICON EXHIBITION SERVICES, INC.",,,withdrawn,,
2016-03-18,American Stock Exchange,"SENSEONICS HOLDINGS, INC.",15800000.0,2.85,priced,SENS,45030000.0
2016-03-17,Nasdaq National Market,HUTCHISON CHINA MEDITECH LTD,7500000.0,13.50,priced,HCM,101250000.0
2016-03-16,,"MOXIAN, INC.",,,filed,,20000000.0
2016-03-11,Nasdaq SmallCap Market,ROSEHILL RESOURCES INC.,8000000.0,10.00,priced,KLREU,80000000.0
2016-03-11,,LAZURITON NANO BIOTECHNOLOGY (U.S.A.) INC.,,,filed,,200000.0
2016-03-10,,VALERITAS INC,,,withdrawn,,
2016-03-04,,PLX PHARMA INC.,,,withdrawn,,
2016-03-04,,HUNTING DOG CAPITAL CORP.,,,filed,HDCC,34500000.0
2016-03-03,Nasdaq National Market,SYNDAX PHARMACEUTICALS INC,4400000.0,12.00,priced,SNDX,52800000.0
2016-03-03,Nasdaq SmallCap Market,"PECK CO HOLDINGS, INC.",3900000.0,10.00,priced,JSYNU,39000000.0
2016-03-03,,GETELMAN CORP.,,,filed,,100000.0
2016-03-03,,RIZZEN INC.,,,filed,,120000.0
2016-03-03,,WIKE CORP.,,,filed,,50000.0
2016-03-01,,RESULTS BASED OUTSOURCING INC,,,filed,,56950.0
2016-04-28,Nasdaq National Market,"GLOBAL WATER RESOURCES, INC.",1164800.0,6.25,priced,GWRS,7280000.0
2016-04-28,Nasdaq SmallCap Market,PAVMED INC.,1060000.0,5.00,priced,PAVMU,5300000.0
2016-04-27,Nasdaq National Market,"RED ROCK RESORTS, INC.",27250000.0,19.50,priced,RRR,531375000.0
2016-04-27,,"NEW GOLD DISCOVERIES, INC.",,,filed,,3000000.0
2016-04-27,,"RC-1, INC.",,,filed,RCRS,251172.0
2016-04-22,Nasdaq National Market,SECUREWORKS CORP,8000000.0,14.00,priced,SCWX,112000000.0
2016-04-21,New York Stock Exchange,"AMERICAN RENAL ASSOCIATES HOLDINGS, INC.",7500000.0,22.00,priced,ARA,165000000.0
2016-04-20,New York Stock Exchange,MGM GROWTH PROPERTIES LLC,50000000.0,21.00,priced,MGP,1050000000.0
2016-04-18,,"TRIPBORN, INC.",,,filed,,3214285.8
2016-04-15,,"BIOCARDIA LIFESCIENCES, INC.",,,withdrawn,,
2016-04-15,,"FLOOR & DECOR HOLDINGS, INC.",,,withdrawn,,
2016-04-14,,GENSIGHT BIOLOGICS S.A.,,,withdrawn,,
2016-04-13,,BAVARIAN NORDIC A/S / ADR,,,withdrawn,,
2016-04-12,,NEXT GEN WATER CORP LTD.,,,filed,,250000.0
2016-04-07,Nasdaq National Market,"AEGLEA BIOTHERAPEUTICS, INC.",5000000.0,10.00,priced,AGLE,50000000.0
2016-04-06,OTCBB,DATASEA INC.,9393000.0,0.01,priced,DTSS,93930.0
2016-04-04,,GABBIT CORP.,,,filed,,90000.0
2016-04-04,,YINTECH INVESTMENT HOLDINGS LTD,,,filed,YIN,101250000.0
2016-04-01,,TRANSFIRST HOLDINGS CORP.,,,withdrawn,,
2016-05-26,Nasdaq SmallCap Market,WAITR HOLDINGS INC.,25000000.0,10.00,priced,LCAHU,250000000.0
2016-05-26,New York Stock Exchange,"COTIVITI HOLDINGS, INC.",12500000.0,19.00,priced,COTV,237500000.0
2016-05-26,New York Stock Exchange,US FOODS HOLDING CORP.,44444444.0,23.00,priced,USFD,1022222212.0
2016-05-26,Nasdaq National Market,REATA PHARMACEUTICALS INC,5500000.0,11.00,priced,RETA,60500000.0
2016-05-26,New York Stock Exchange,GMS INC.,7000000.0,21.00,priced,GMS,147000000.0
2016-05-24,Nasdaq National Market,"MIDLAND STATES BANCORP, INC.",3638755.0,22.00,priced,MSBI,80052610.0
2016-05-20,,VIAMET PHARMACEUTICALS HOLDINGS LLC,,,withdrawn,,
2016-05-20,,FREEPORT-MCMORAN OIL & GAS INC.,,,withdrawn,,
2016-05-20,Nasdaq SmallCap Market,FGL HOLDINGS,60000000.0,10.00,priced,CFCOU,600000000.0
2016-05-19,,"ETRE RESIDENTIAL, LLC",,,withdrawn,,
2016-05-19,New York Stock Exchange,GRUPO SUPERVIELLE S.A.,25500015.0,11.00,priced,SUPV,280500165.0
2016-05-19,Nasdaq National Market,MERUS N.V.,5500000.0,10.00,priced,MRUS,55000000.0
2016-05-19,OTCBB,REIGN SAPPHIRE CORP,3923000.0,0.50,priced,RGNP,1961500.0
2016-05-19,,DUO WORLD INC,,,filed,,8567467.0
2016-05-18,Nasdaq SmallCap Market,"PHASERX, INC.",3700000.0,5.00,priced,PZRX,18500000.0
2016-05-18,Nasdaq SmallCap Market,"PULSE BIOSCIENCES, INC.",5000000.0,4.00,priced,PLSE,20000000.0
2016-05-17,,"HOVERINK BIOTECHNOLOGIES, INC.",,,withdrawn,,
2016-05-16,,"IHEALTHCARE, INC.",,,filed,,62500.0
2016-05-13,Nasdaq National Market,"OUTLOOK THERAPEUTICS, INC.",5833334.0,6.00,priced,ONSIU,35000004.0
2016-05-13,Nasdaq National Market,"ACACIA COMMUNICATIONS, INC.",4500000.0,23.00,priced,ACIA,103500000.0
2016-05-13,,NATURAL DESTINY INC.,,,filed,,22977.5
2016-05-12,New York Stock Exchange,"SITEONE LANDSCAPE SUPPLY, INC.",10000000.0,21.00,priced,SITE,210000000.0
2016-05-11,New York Stock Exchange,"TURNING POINT BRANDS, INC.",5400000.0,10.00,priced,TPB,54000000.0
2016-05-06,Nasdaq National Market,"INTELLIA THERAPEUTICS, INC.",6000000.0,18.00,priced,NTLA,108000000.0
2016-05-06,Nasdaq SmallCap Market,"SPRING BANK PHARMACEUTICALS, INC.",920000.0,12.00,priced,SBPH,11040000.0
2016-05-06,,"ATLAN MEDIA, INC.",,,filed,,950000.0
2016-05-05,,MAMMOTH ENERGY PARTNERS LP,,,withdrawn,,
2016-05-02,,GLOBAL COSMETICS INC.,,,filed,,240000.0
2016-05-02,,"BRISSET BEER INTERNATIONAL, INC.",,,filed,BBII,204500.0
2016-07-01,,PERFORMANCE HEALTH HOLDINGS CORP.,,,withdrawn,,
2016-07-01,,"ADOMANI, INC.",,,withdrawn,,
2016-07-01,,"KINSALE CAPITAL GROUP, INC.",,,filed,KNSL,105600000.0
2016-06-30,,MORGAN PROPERTIES TRUST,,,withdrawn,,
2016-06-29,,NATIONAL COMMERCIAL BANK JAMAICA LTD,,,withdrawn,,
2016-06-29,New York Stock Exchange,GLOBAL MEDICAL REIT INC.,13043479.0,10.00,priced,GMRE,130434790.0
2016-06-28,,KT HIGH-TECH MARKETING INC.,,,filed,,3800000.0
2016-06-27,,CARO HOLDINGS INC.,,,filed,,185000.0
2016-06-24,,IQ PHYSICAL DIAMOND TRUST,,,withdrawn,,
2016-06-23,New York Stock Exchange,TWILIO INC,10000000.0,15.00,priced,TWLO,150000000.0
2016-06-22,,"ARMSTRONG RESOURCE PARTNERS, L.P.",,,withdrawn,,
2016-06-22,Nasdaq National Market,SELECTA BIOSCIENCES INC,5000000.0,14.00,priced,SELB,70000000.0
2016-06-20,,"ORO EAST MINING, INC.",,,withdrawn,,
2016-06-16,Nasdaq SmallCap Market,PARAGON COMMERCIAL CORP,736000.0,34.00,priced,PBNC,25024000.0
2016-06-14,Nasdaq SmallCap Market,"VIVEVE MEDICAL, INC.",2700000.0,5.00,priced,VIVE,13500000.0
2016-06-14,,TGLT S.A.,,,filed,TGLT,50000000.0
2016-06-13,,"GLOLEX, INC.",,,filed,,100000.0
2016-06-10,New York Stock Exchange,CHINA ONLINE EDUCATION GROUP,2400000.0,19.00,priced,COE,45600000.0
2016-06-10,New York Stock Exchange,ATKORE INTERNATIONAL GROUP INC.,12000000.0,16.00,priced,ATKR,192000000.0
2016-06-07,,GLOBAL MARKET GROUP LTD,,,withdrawn,,
2016-06-06,,ALMA MARITIME LTD,,,withdrawn,,
2016-06-03,Nasdaq SmallCap Market,"SENSUS HEALTHCARE, INC.",2000000.0,5.50,priced,SRTSU,11000000.0
2016-06-03,,BYLOG GROUP CORP.,,,filed,,90000.0
2016-06-03,,"SYROS PHARMACEUTICALS, INC.",,,filed,SYRS,50000000.0
2016-06-02,Nasdaq National Market,"NANTHEALTH, INC.",6500000.0,14.00,priced,NH,91000000.0
2016-06-02,Nasdaq SmallCap Market,"MOLECULIN BIOTECH, INC.",1540026.0,6.00,priced,MBRX,9240156.0
2016-06-02,Nasdaq National Market,"CLEARSIDE BIOMEDICAL, INC.",7200000.0,7.00,priced,CLSD,50400000.0
2016-06-02,,GH CAPITAL INC.,,,filed,,2557112.55
2016-08-01,,NEWMARKT CORP.,,,filed,,160000.0
2016-07-29,,"CORCENTRIC, INC.",,,withdrawn,,
2016-07-29,,AINA LE'A INC.,,,withdrawn,,
2016-07-29,Nasdaq National Market,TALEND S.A.,5250000.0,18.00,priced,TLND,94500000.0
2016-07-29,Nasdaq SmallCap Market,LONG BLOCKCHAIN CORP.,1818182.0,5.50,priced,LTEA,10000001.0
2016-07-28,Nasdaq National Market,TACTILE SYSTEMS TECHNOLOGY INC,4000000.0,10.00,priced,TCMD,40000000.0
2016-07-27,New York Stock Exchange,"KADMON HOLDINGS, INC.",6250000.0,12.00,priced,KDMN,75000000.0
2016-07-22,Nasdaq National Market,"TPI COMPOSITES, INC",6250000.0,11.00,priced,TPIC,68750000.0
2016-07-21,,ADVANCED INHALATION THERAPIES (AIT) LTD.,,,withdrawn,,
2016-07-21,Nasdaq National Market,IMPINJ INC,4800000.0,14.00,priced,PI,67200000.0
2016-07-21,New York Stock Exchange,PATHEON N.V.,29761905.0,21.00,priced,PTHN,625000005.0
2016-07-20,Nasdaq National Market,"AUDENTES THERAPEUTICS, INC.",5000000.0,15.00,priced,BOLD,75000000.0
2016-07-18,,"BMC CAPITAL, INC.",,,withdrawn,,
2016-07-15,Nasdaq SmallCap Market,CONYERS PARK ACQUISITION CORP.,37500000.0,10.00,priced,CPAAU,375000000.0
2016-07-15,New York Stock Exchange,"ADVANCEPIERRE FOODS HOLDINGS, INC.",18600000.0,21.00,priced,APFH,390600000.0
2016-07-15,,ETHERINDEX ETHER TRUST,,,filed,ETHX,1000000.0
2016-07-14,,ROYAL RESOURCES PARTNERS LP,,,withdrawn,,
2016-07-14,,TWIST BEAUTY S.A R.L. & PARTNERS S.C.A.,,,withdrawn,,
2016-07-14,New York Stock Exchange,LINE CORP,35000000.0,32.84,priced,LN,1149400000.0
2016-07-14,,HIGH DESERT HOLDING CORP.,,,filed,,2000000.0
2016-07-14,,NPQ HOLDINGS LTD,,,filed,,2000000.0
2016-07-13,,"AEGIS IDENTITY SOFTWARE, INC.",,,filed,AIDM,10000000.0
2016-07-12,,SOLIDX BITCOIN TRUST,,,filed,XBTC,1000000.0
2016-07-08,Nasdaq SmallCap Market,"INNOVATE BIOPHARMACEUTICALS, INC.",2025000.0,4.50,priced,MSDI,9112500.0
2016-07-08,,"TECH CENTRAL, INC.",,,filed,,1368125.0
2016-07-07,Nasdaq SmallCap Market,"INFRASTRUCTURE & ENERGY ALTERNATIVES, INC.",15000000.0,10.00,priced,MIIIU,150000000.0
2016-07-07,,CELLECT BIOTECHNOLOGY LTD.,,,filed,APOP,8400002.0
2016-07-06,,PRECIOUS METALS EXPLORATION CORP.,,,withdrawn,,
2016-07-06,,"ROYAL COUNTRY CLUB & RECREATION HOLDINGS, INC.",,,withdrawn,,
2016-07-05,,FOTV MEDIA NETWORKS INC.,,,filed,FOTV,30000000.0
2016-07-01,,PERFORMANCE HEALTH HOLDINGS CORP.,,,withdrawn,,
2016-07-01,,"ADOMANI, INC.",,,withdrawn,,
2016-07-01,,"KINSALE CAPITAL GROUP, INC.",,,filed,KNSL,105600000.0
2016-09-01,,JASMIN CORP.,,,filed,,80000.0
2016-08-31,,BATTLERS CORP.,,,filed,,80000.0
2016-08-26,,DIGICEL GROUP LTD,,,withdrawn,,
2016-08-25,,DUONAS CORP.,,,filed,,90000.0
2016-08-22,,BOWIE RESOURCE PARTNERS LP,,,withdrawn,,
2016-08-19,Nasdaq SmallCap Market,"PHUNWARE, INC.",6500000.0,10.00,priced,STLRU,65000000.0
2016-08-18,,ELITESOFT GLOBAL INC.,,,filed,,1200000.0
2016-08-12,,MARKET VECTORS COMMODITY TRUST,,,withdrawn,,
2016-08-12,Nasdaq SmallCap Market,AIRGAIN INC,1500000.0,8.00,priced,AIRG,12000000.0
2016-08-11,Nasdaq National Market,"PROTAGONIST THERAPEUTICS, INC",7500000.0,12.00,priced,PTGX,90000000.0
2016-08-11,Nasdaq National Market,"MEDPACE HOLDINGS, INC.",7000000.0,23.00,priced,MEDP,161000000.0
2016-08-10,,"BLUE COAT, INC.",,,withdrawn,,
2016-08-09,,GEANT CORP.,,,filed,,80000.0
2016-08-08,,"OZ SAFEROOMS TECHNOLOGIES, INC.",,,withdrawn,,
2016-08-05,Nasdaq SmallCap Market,ATOMERA INC,3200000.0,7.50,priced,ATMR,24000000.0
2016-08-05,Nasdaq National Market,"NEUROBO PHARMACEUTICALS, INC.",3000000.0,10.00,priced,GEMP,30000000.0
2016-08-04,Nasdaq National Market,"FIRST HAWAIIAN, INC.",21086957.0,23.00,priced,FHB,485000011.0
2016-08-04,New York Stock Exchange,AT HOME GROUP INC.,8667000.0,15.00,priced,HOME,130005000.0
2016-08-04,,KASKAD CORP.,,,filed,,90000.0
2016-08-02,,BIOVENTUS INC.,,,withdrawn,,
2016-08-02,,"INVENTIV GROUP HOLDINGS, INC.",,,withdrawn,,
2016-08-01,,NEWMARKT CORP.,,,filed,,160000.0
2016-09-30,NASDAQ Global Select,"NUTANIX, INC.",14870000.0,16.00,priced,NTNX,237920000.0
2016-09-29,NASDAQ Global,"TABULA RASA HEALTHCARE, INC.",4300000.0,12.00,priced,TRHC,51600000.0
2016-09-29,NYSE,"MEDEQUITIES REALTY TRUST, INC.",19925333.0,12.00,priced,MRT,239103996.0
2016-09-28,NASDAQ Capital,"SHINECO, INC.",1713190.0,4.50,priced,TYHT,7709355.0
2016-09-27,,"BMC CAPITAL, INC.",,,filed,,8000000.0
2016-09-23,NASDAQ Global,APPTIO INC,6000000.0,16.00,priced,APTI,96000000.0
2016-09-23,NASDAQ Global Select,GRIDSUM HOLDING INC.,6700000.0,13.00,priced,GSUM,87100000.0
2016-09-23,NASDAQ Global,AC IMMUNE SA,6000000.0,11.00,priced,ACIU,66000000.0
2016-09-23,NYSE,VALVOLINE INC,30000000.0,22.00,priced,VVV,660000000.0
2016-09-22,NYSE,"E.L.F. BEAUTY, INC.",8333333.0,17.00,priced,ELF,141666661.0
2016-09-22,NASDAQ Global Select,"CAPSTAR FINANCIAL HOLDINGS, INC.",2585000.0,15.00,priced,CSTR,38775000.0
2016-09-22,,KOLDECK INC.,,,filed,,100000.0
2016-09-21,NASDAQ Global,"TRADE DESK, INC.",4666667.0,18.00,priced,TTD,84000006.0
2016-09-21,NASDAQ Global,"NOVAN, INC.",4100000.0,11.00,priced,NOVN,45100000.0
2016-09-19,OTCBB,LORD GLOBAL CORP,20000000.0,1.00,priced,BGFT,20000000.0
2016-09-19,,CLANCY CORP,,,filed,,80000.0
2016-09-16,,"SANCILIO PHARMACEUTICALS COMPANY, INC.",,,withdrawn,,
2016-09-16,NYSE,BANK OF N.T. BUTTERFIELD & SON LTD,10638298.0,23.50,priced,NTB,250000003.0
2016-09-16,NYSE,FB FINANCIAL CORP,5882352.0,19.00,priced,FBK,111764688.0
2016-09-16,NASDAQ Global,"EVERBRIDGE, INC.",7500000.0,12.00,priced,EVBG,90000000.0
2016-09-16,NASDAQ Capital,SABAN CAPITAL ACQUISITION CORP.,23500000.0,10.00,priced,SCACU,235000000.0
2016-09-15,NYSE,NOBLE MIDSTREAM PARTNERS LP,12500000.0,22.50,priced,NBLX,281250000.0
2016-09-14,,PHILADELPHIA ENERGY SOLUTIONS INC.,,,withdrawn,,
2016-09-14,,PES LOGISTICS PARTNERS LP,,,withdrawn,,
2016-09-14,NASDAQ Capital,"PRIORITY TECHNOLOGY HOLDINGS, INC.",5000000.0,10.00,priced,MACQU,50000000.0
2016-09-13,,"LOANDEPOT, INC.",,,withdrawn,,
2016-09-13,,GALEM GROUP INC.,,,filed,,90000.0
2016-09-09,,BOXXY INC.,,,filed,,100000.0
2016-09-09,,"CLEANGOAL ENERGY, CORP",,,filed,,750500.0
2016-09-02,,"GEX MANAGEMENT, INC.",,,filed,,1500000.0
2016-09-02,,"FULGENT GENETICS, INC.",,,filed,FLGT,37800000.0
2016-09-01,,JASMIN CORP.,,,filed,,80000.0
2016-11-01,,VANTAGE ENERGY INC.,,,withdrawn,,
2016-10-31,,EVRAZ NORTH AMERICA PLC,,,withdrawn,,
2016-10-28,NASDAQ Global Select,"ON SEMICONDUCTOR CONNECTIVITY SOLUTIONS, INC.",6700000.0,16.00,priced,QTNA,107200000.0
2016-10-28,NASDAQ Global Select,"BLACKLINE, INC.",8600000.0,17.00,priced,BL,146200000.0
2016-10-28,NYSE,ACUSHNET HOLDINGS CORP.,19333333.0,17.00,priced,GOLF,328666661.0
2016-10-28,,"OXYGEN THERAPY, INC.",,,filed,,19081038.0
2016-10-27,,"CONVERSATION INSTITUTE, INC.",,,withdrawn,,
2016-10-27,NASDAQ Capital,GTY TECHNOLOGY HOLDINGS INC.,48000000.0,10.00,priced,GTYHU,480000000.0
2016-10-27,NYSE,ZTO EXPRESS (CAYMAN) INC.,72100000.0,19.50,priced,ZTO,1405950000.0
2016-10-27,NYSE,MYOVANT SCIENCES LTD.,14500000.0,15.00,priced,MYOV,217500000.0
2016-10-27,,KOKOS GROUP INC.,,,filed,,150000.0
2016-10-26,NASDAQ Global,"RA PHARMACEUTICALS, INC.",7049230.0,13.00,priced,RARX,91639990.0
2016-10-21,,"CENTENNIAL RESOURCE DEVELOPMENT, INC.",,,withdrawn,,
2016-10-21,,COLLPLANT HOLDINGS LTD.,,,filed,CLGN,25357500.0
2016-10-21,,"CROE, INC.",,,filed,,42500.0
2016-10-20,NASDAQ Global,"IRHYTHM TECHNOLOGIES, INC.",6294118.0,17.00,priced,IRTC,107000006.0
2016-10-20,NASDAQ Global Select,"FORTERRA, INC.",18420000.0,18.00,priced,FRTA,331560000.0
2016-10-19,NASDAQ Global,CRISPR THERAPEUTICS AG,4000000.0,14.00,priced,CRSP,56000000.0
2016-10-14,,"PIMCO REIT, INC.",,,withdrawn,,
2016-10-14,NASDAQ Global Select,"MAMMOTH ENERGY SERVICES, INC.",7750000.0,15.00,priced,TUSK,116250000.0
2016-10-14,,ZARTEX INC.,,,filed,,100000.0
2016-10-12,,"RIVERBANC MULTIFAMILY INVESTORS, INC.",,,withdrawn,,
2016-10-12,NASDAQ Global Select,"EXTRACTION OIL & GAS, INC.",33333333.0,19.00,priced,XOG,633333327.0
2016-10-12,NYSE,AZURE POWER GLOBAL LTD,3409091.0,18.00,priced,AZRE,61363638.0
2016-10-12,,MOVEIX INC.,,,filed,,100000.0
2016-10-11,NASDAQ Capital,ORGANOGENESIS HOLDINGS INC.,30000000.0,10.00,priced,AHPAU,300000000.0
2016-10-11,NASDAQ Capital,"AZURRX BIOPHARMA, INC.",960000.0,5.50,priced,AZRX,5280000.0
2016-10-07,,GPM PETROLEUM LP,,,withdrawn,,
2016-10-07,NASDAQ Global,EVERSPIN TECHNOLOGIES INC,5000000.0,8.00,priced,MRAM,40000000.0
2016-10-07,NYSE,"CAMPING WORLD HOLDINGS, INC.",11363636.0,22.00,priced,CWH,249999992.0
2016-10-06,NASDAQ Global Select,COUPA SOFTWARE INC,7400000.0,18.00,priced,COUP,133200000.0
2016-10-06,NASDAQ Global,OBALON THERAPEUTICS INC,5000000.0,15.00,priced,OBLN,75000000.0
2016-10-06,Nasdaq SmallCap Market,SCWORX CORP.,3333333.0,4.50,priced,AMMA,14999999.0
2016-10-06,NYSE,AQUAVENTURE HOLDINGS LTD,6500000.0,18.00,priced,WAAS,117000000.0
2016-10-06,NYSE,"ADVANCED DISPOSAL SERVICES, INC.",19250000.0,18.00,priced,ADSW,346500000.0
2016-10-06,,TEMIR CORP.,,,filed,,100000.0
2016-12-01,,"IMPERIAL RESOURCES, LLC",,,withdrawn,,
2016-12-01,NYSE,INNOVATIVE INDUSTRIAL PROPERTIES INC,3350000.0,20.00,priced,IIPR,67000000.0
2016-12-01,,"BIOCRUDE TECHNOLOGIES USA, INC.",,,filed,,61885812.0
2016-11-29,,"PRECHECK HEALTH SERVICES, INC.",,,withdrawn,,
2016-11-29,,PETROSHARE CORP.,,,withdrawn,,
2016-11-28,,KRIPTECH INTERNATIONAL CORP.,,,filed,,80000.0
2016-11-25,,UTAC HOLDINGS LTD.,,,withdrawn,,
2016-11-21,,BIOCRUDE TECHOLOGIES INC,,,withdrawn,,
2016-11-21,,"EURAMAX HOLDINGS, INC.",,,withdrawn,,
2016-11-18,NASDAQ Capital,HUNTER MARITIME ACQUISITION CORP.,15000000.0,10.00,priced,HUNTU,150000000.0
2016-11-18,NASDAQ Capital,MOTIF BIO PLC,2438491.0,6.98,priced,MTFB,17020667.0
2016-11-18,,"CH REAL ESTATE II, INC.",,,filed,,272000.0
2016-11-17,,ORESSA LTD,,,withdrawn,,
2016-11-16,,THAR PHARMACEUTICALS INC,,,withdrawn,,
2016-11-14,,AMCHI GENDYNAMY SCIENCE CORP,,,withdrawn,,
2016-11-14,,"EMPIRE PETROLEUM PARTNERS, LP",,,withdrawn,,
2016-11-14,,"CHINA GEWANG BIOTECHNOLOGY, INC.",,,filed,,12000000.0
2016-11-14,,"DIGITAL DONATIONS TECHNOLOGIES, INC.",,,filed,,13877880.0
2016-11-10,,METRO MEDIA HOLDING CORP,,,withdrawn,,
2016-11-10,,AVONDALE ACQUISITION CORP.,,,withdrawn,,
2016-11-10,,KNOWLEDGE POWER CORP,,,withdrawn,,
2016-11-10,,SINORAMA CORP,,,filed,,5900000.0
2016-11-10,,ALLEGRO BEAUTY PRODUCTS INC,,,filed,,55000.0
2016-11-10,,"JWIZ, INC.",,,filed,JWIZ,11500000.0
2016-11-09,,"HEALING TOUCH HOLDINGS, INC.",,,filed,,1000000.0
2016-11-07,,LAZEX INC.,,,filed,,100000.0
2016-11-07,,BITMIS CORP.,,,filed,,100000.0
2016-11-04,NASDAQ Global Select,"SMART SAND, INC.",11700000.0,11.00,priced,SND,128700000.0
2016-11-03,,"NORTH TEXAS ENERGY, INC.",,,filed,,2274020.0
