Date,Exchange,Company Name,Number of Shares,Price,Status,Symbol,Number of Shares
2005-10-26,OTCBB,"HALITRON, INC.",4440000.0,2.50,priced,TKNK,11100000.0
2005-10-25,OTCBB,KEY HOSPITALITY ACQUISITION CORP,6000000.0,8.00,priced,KHPAU,48000000.0
2005-10-24,OTCBB,CHEM RX CORP,8500000.0,6.00,priced,PMQCU,51000000.0
2005-10-24,Nasdaq National Market,"NCI, INC.",5150000.0,10.50,priced,NCIT,54075000.0
2005-10-20,,SKINMEDICA INC,,,withdrawn,,
2005-10-20,OTCBB,ATS CORP,21000000.0,6.00,priced,FDSAU,126000000.0
2005-10-19,,INNOVENE INC.,,,withdrawn,,
2005-10-19,New York Stock Exchange,CBOT HOLDINGS  INC,3191489.0,54.00,priced,BOT,172340406.0
2005-10-18,,CREATIVE BUSINESS CONCEPTS INC,,,withdrawn,,
2005-10-14,,GEOLOGISTICS CORP,,,withdrawn,,
2005-10-14,Nasdaq National Market,"POKERTEK, INC.",2000000.0,11.00,priced,PTEK,22000000.0
2005-10-13,,"PAV REPUBLIC, INC.",,,withdrawn,,
2005-10-13,New York Stock Exchange,"DHT HOLDINGS, INC.",16000000.0,12.00,priced,DHT,192000000.0
2005-10-12,,WATCHDATA TECHNOLOGIES LTD.,,,withdrawn,,
2005-10-12,Nasdaq National Market,INVESTORS BANCORP INC,44893125.0,10.00,priced,ISBC,448931250.0
2005-10-12,New York Stock Exchange,"TAL INTERNATIONAL GROUP, INC.",11500000.0,18.00,priced,TAL,207000000.0
2005-10-07,,INTELLIPHARMACEUTICS LTD,,,withdrawn,,
2005-10-07,Nasdaq National Market,AMERICAN COMMERCIAL LINES INC.,8250000.0,21.00,priced,ACLI,173250000.0
2005-10-06,Nasdaq National Market,STEALTHGAS INC.,8000000.0,14.50,priced,GASS,116000000.0
2005-10-05,,PERFECT HEALTH CARE CORP,,,withdrawn,,
2005-10-05,Nasdaq National Market,WATERSTONE FINANCIAL INC,8797500.0,10.00,priced,WAUW,87975000.0
2005-10-03,Nasdaq National Market,GUARANTY BANCORP,50637923.0,12.50,priced,CBHI,632974038.0
2005-11-30,Nasdaq National Market,"ACTIONS SEMICONDUCTOR CO., LTD.",9000000.0,8.00,priced,ACTS,72000000.0
2005-11-22,New York Stock Exchange,BROOKDALE SENIOR LIVING INC.,11072000.0,19.00,priced,BKD,210368000.0
2005-11-22,Nasdaq National Market,UNION DRILLING INC,8823530.0,14.00,priced,UDRL,123529420.0
2005-11-22,New York Stock Exchange,TRONOX INC,17480000.0,14.00,priced,TRX,244720000.0
2005-11-21,,INTRALINKS INC,,,withdrawn,,
2005-11-18,,ATOMIC PAINTBALL INC,,,withdrawn,,
2005-11-18,Nasdaq National Market,AMERISAFE INC,8000000.0,9.00,priced,AMSF,72000000.0
2005-11-18,Nasdaq National Market,"UNDER ARMOUR, INC.",12124000.0,13.00,priced,UARM,157612000.0
2005-11-18,Nasdaq National Market,DOVER SADDLERY INC,2750000.0,10.00,priced,DOVR,27500000.0
2005-11-17,,"RELIANT PHARMACEUTICALS, INC.",,,withdrawn,,
2005-11-17,Nasdaq National Market,SUNPOWER CORP,7700000.0,18.00,priced,SPWR,138600000.0
2005-11-16,New York Stock Exchange,"INTERCONTINENTAL EXCHANGE HOLDINGS, INC.",16000000.0,26.00,priced,ICE,416000000.0
2005-11-15,Nasdaq National Market,VIMICRO INTERNATIONAL CORP,8697063.0,10.00,priced,VIMC,86970630.0
2005-11-14,,"WESTERN EXPRESS HOLDINGS, INC.",,,withdrawn,,
2005-11-11,New York Stock Exchange,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",35000000.0,18.00,priced,CCO,630000000.0
2005-11-11,New York Stock Exchange,IHS INC.,14515000.0,16.00,priced,IHS,232240000.0
2005-11-10,,GSI TECHNOLOGY INC,,,withdrawn,,
2005-11-10,,GLOBAL SECURE CORP.,,,withdrawn,,
